MASS_EXTRAP,MASS_ERROR
536123.125,167937.15625
303461.9375,44300.703125
2349432.25,554900.625
552718.8125,168071.125
368539.5,118810.34375
575179.6875,152808.15625
616960.625,197289.3125
1975998.25,429244.125
1250391.125,333940.125
744366.0625,291227.90625
944174.25,258909.125
601166.75,224076.5
363378.71875,167834.4375
138616.6875,55776.0390625
461551.40625,184767.0625
135078.15625,68051.28125
3288870.25,691822.75
693129.1875,262000.53125
1698679.625,579064.375
1317338.875,241847.75
966182.4375,209308.5625
963880.3125,159338.625
151216.375,67178.2734375
800549.6875,255985.8125
150357.609375,52874.328125
2096149.5,267847.5
2677815.0,430614.0
612048.375,169193.9375
1705842.5,270383.75
554812.625,138776.59375
3773638.0,339374.25
941225.4375,347140.125
1369208.875,380685.4375
128392.6796875,42396.5625
1301771.625,466394.9375
408429.375,128136.28125
702744.0,222380.15625
167430.296875,41441.328125
377970.3125,132725.390625
9115044.0,1319655.0
192042.796875,53307.296875
4402052.0,956513.0
1176215.125,376997.75
17903382.0,1317207.0
840058.375,139654.0625
271876.75,81472.421875
784750.0,185574.4375
2439882.25,538763.75
1903461.375,485295.375
802407.5625,192751.4375
824466.375,258379.5625
3059090.25,436622.75
997200.9375,361696.9375
886788.3125,277947.8125
181534.3125,50653.4765625
98048.625,21354.5703125
202433.484375,68222.0
194722.734375,42728.125
3111105.75,919493.25
6009669.5,866583.0
1008259.9375,393323.625
1001033.0625,300167.5625
414871.21875,143634.65625
1674213.125,396947.125
244783.3125,62988.609375
564909.6875,138970.28125
5888630.0,665392.0
384641.1875,146106.078125
1004949.25,306546.0
216712.03125,73414.59375
2097349.75,380485.5
758917.125,278105.8125
228660.5625,40571.53125
1754059.875,559376.125
589864.5,242435.5625
714793.5,184195.25
616372.0625,102555.09375
517715.0625,151654.71875
900436.625,329962.25
239938.609375,60489.296875
253908.78125,70026.625
421490.875,138140.78125
2603165.75,531801.5
197339.5625,84228.0234375
6534530.0,808611.5
1090899.25,373377.6875
9576107.0,1815076.5
1517019.5,548655.9375
1013770.25,341421.125
448236.90625,61673.5625
400356.875,101787.65625
73901.6484375,27874.1796875
849020.75,151115.125
414823.59375,125071.5625
2507414.75,518942.125
790625.0,279392.125
583895.6875,247601.125
167172.859375,35829.328125
323378.03125,91077.921875
854032.5,232860.125
201717.5625,50730.96875
821377.875,200907.625
912397.875,107013.375
13886153.0,1841333.0
2456190.75,713169.0
537459.1875,219294.9375
1165710.25,215742.9375
637726.9375,257355.28125
1309172.625,158349.875
491143.15625,157037.375
465878.53125,163889.90625
2633678.75,784392.25
686584.9375,232494.15625
15590973.0,48723.0
13043541.0,1982247.0
1093657.5,296635.5
137812.5,33037.9453125
428598.46875,137391.59375
1283745.5,208690.75
2137092.25,492765.5
3494369.0,960382.5
3089296.25,633654.75
313544.375,100642.671875
732605.5,163394.1875
1743381.375,384469.75
3231029.5,1103891.5
2037731.875,491624.0
843511.125,262734.25
1438511.75,541050.625
314542.875,49879.1875
240085.921875,56356.75
2233298.0,533170.25
144605.484375,44380.3671875
2329389.25,645980.125
1030534.0625,226785.0
3103857.5,885407.25
468063.34375,194052.5
2346914.75,539648.5
23215054.0,1405020.0
283411.75,102577.390625
58281.921875,20306.96484375
3861279.0,677104.0
11058766.0,1498983.0
1298674.375,269167.1875
1411663.0,146126.625
1313125.625,502586.75
1481791.25,436816.9375
584096.875,225105.15625
934491.125,165633.125
2012223.375,617889.375
1058663.875,280039.5
780951.75,287405.90625
3155006.25,473067.5
483486.5,157347.5625
3685251.0,837813.25
470280.96875,144255.09375
815208.4375,154263.0625
1812272.375,445573.125
299271.65625,111362.390625
2173000.75,263210.625
251170.671875,58405.234375
946638.8125,289176.8125
732185.125,242561.1875
962776.3125,404651.1875
493481.84375,181807.84375
1213892.5,413625.5625
6324824.5,610886.0
532814.75,216026.25
512497.25,178523.125
922643.9375,265944.6875
1278981.375,325831.6875
1058184.25,319843.0625
1945072.375,452190.75
538968.375,82045.3125
10853294.0,1115465.0
1667008.75,526434.5
1487258.25,287583.625
1506963.5,365855.75
170578.25,73172.5703125
4424661.0,821368.0
7712859.0,959871.5
453177.90625,222613.3125
728574.125,304142.96875
1459213.0,378454.5
3122025.5,481631.75
2553945.75,409041.5
419848.90625,150605.65625
1974608.75,583903.875
3158902.75,836649.5
1700493.75,515403.25
210340.375,83932.1171875
956373.5,374570.5
339044.09375,125239.0625
1067920.0,302824.0
248403.171875,56787.671875
4590712.5,969798.5
2151067.0,412871.625
145936.71875,32702.28125
545013.0625,180517.34375
220019.6875,87168.1875
294100.21875,132714.5625
1995221.125,358677.75
4355559.5,738035.25
11641048.0,1306822.0
1098117.125,394512.1875
284107.1875,91574.234375
510201.71875,138960.0
411067.09375,123033.25
433001.34375,131000.40625
519197.625,127718.84375
226717.9375,30116.359375
126284.2734375,50845.8203125
420895.625,124299.0625
817479.0625,259667.4375
1533971.125,443612.5
813428.3125,245968.875
371946.9375,145609.859375
2215306.75,504052.625
7571105.5,842633.5
2074158.5,600065.625
10102466.0,1557767.0
1510999.5,513841.8125
7232305.0,1370490.5
132796.96875,74522.4453125
338728.40625,114871.0
2801667.25,700184.75
9370086.0,1765031.0
2728271.75,635859.375
4558732.5,821484.25
